set,size,algorithm,coins
0,2000,changegreedy,15
0,2000,changedp,15
1,2001,changegreedy,16
1,2001,changedp,16
2,2002,changegreedy,17
2,2002,changedp,17
3,2003,changegreedy,18
3,2003,changedp,18
4,2004,changegreedy,19
4,2004,changedp,19
5,2005,changegreedy,20
5,2005,changedp,17
6,2006,changegreedy,16
6,2006,changedp,16
7,2007,changegreedy,17
7,2007,changedp,17
8,2008,changegreedy,18
8,2008,changedp,18
9,2009,changegreedy,19
9,2009,changedp,19
10,2010,changegreedy,20
10,2010,changedp,20
11,2011,changegreedy,21
11,2011,changedp,18
12,2012,changegreedy,17
12,2012,changedp,17
13,2013,changegreedy,16
13,2013,changedp,16
14,2014,changegreedy,17
14,2014,changedp,17
15,2015,changegreedy,18
15,2015,changedp,18
16,2016,changegreedy,19
16,2016,changedp,19
17,2017,changegreedy,20
17,2017,changedp,19
18,2018,changegreedy,21
18,2018,changedp,18
19,2019,changegreedy,17
19,2019,changedp,17
20,2020,changegreedy,18
20,2020,changedp,18
21,2021,changegreedy,19
21,2021,changedp,19
22,2022,changegreedy,20
22,2022,changedp,18
23,2023,changegreedy,21
23,2023,changedp,19
24,2024,changegreedy,15
24,2024,changedp,15
25,2025,changegreedy,16
25,2025,changedp,16
26,2026,changegreedy,17
26,2026,changedp,17
27,2027,changegreedy,18
27,2027,changedp,18
28,2028,changegreedy,19
28,2028,changedp,19
29,2029,changegreedy,20
29,2029,changedp,20
30,2030,changegreedy,16
30,2030,changedp,16
31,2031,changegreedy,17
31,2031,changedp,17
32,2032,changegreedy,18
32,2032,changedp,18
33,2033,changegreedy,19
33,2033,changedp,19
34,2034,changegreedy,20
34,2034,changedp,20
35,2035,changegreedy,21
35,2035,changedp,19
36,2036,changegreedy,17
36,2036,changedp,17
37,2037,changegreedy,16
37,2037,changedp,16
38,2038,changegreedy,17
38,2038,changedp,17
39,2039,changegreedy,18
39,2039,changedp,18
40,2040,changegreedy,19
40,2040,changedp,19
41,2041,changegreedy,20
41,2041,changedp,20
42,2042,changegreedy,21
42,2042,changedp,18
43,2043,changegreedy,17
43,2043,changedp,17
44,2044,changegreedy,18
44,2044,changedp,18
45,2045,changegreedy,19
45,2045,changedp,19
46,2046,changegreedy,20
46,2046,changedp,20
47,2047,changegreedy,21
47,2047,changedp,21
48,2048,changegreedy,22
48,2048,changedp,19
49,2049,changegreedy,18
49,2049,changedp,18
50,2050,changegreedy,17
50,2050,changedp,17
51,2051,changegreedy,18
51,2051,changedp,18
52,2052,changegreedy,19
52,2052,changedp,19
53,2053,changegreedy,20
53,2053,changedp,20
54,2054,changegreedy,21
54,2054,changedp,20
55,2055,changegreedy,22
55,2055,changedp,19
56,2056,changegreedy,18
56,2056,changedp,18
57,2057,changegreedy,19
57,2057,changedp,19
58,2058,changegreedy,20
58,2058,changedp,20
59,2059,changegreedy,21
59,2059,changedp,19
60,2060,changegreedy,22
60,2060,changedp,20
61,2061,changegreedy,16
61,2061,changedp,16
62,2062,changegreedy,17
62,2062,changedp,17
63,2063,changegreedy,18
63,2063,changedp,18
64,2064,changegreedy,19
64,2064,changedp,19
65,2065,changegreedy,20
65,2065,changedp,20
66,2066,changegreedy,21
66,2066,changedp,21
67,2067,changegreedy,17
67,2067,changedp,17
68,2068,changegreedy,18
68,2068,changedp,18
69,2069,changegreedy,19
69,2069,changedp,19
70,2070,changegreedy,20
70,2070,changedp,20
71,2071,changegreedy,21
71,2071,changedp,21
72,2072,changegreedy,22
72,2072,changedp,20
73,2073,changegreedy,18
73,2073,changedp,18
74,2074,changegreedy,17
74,2074,changedp,17
75,2075,changegreedy,18
75,2075,changedp,18
76,2076,changegreedy,19
76,2076,changedp,19
77,2077,changegreedy,20
77,2077,changedp,20
